iter	Passed	Remaining
0	9	9240
1	17	8961
2	26	8817
3	34	8572
4	41	8317
5	49	8240
6	58	8250
7	66	8246
8	74	8211
9	82	8136
10	89	8043
11	97	8004
12	105	7972
13	112	7912
14	120	7905
15	128	7887
16	135	7813
17	142	7785
18	149	7712
19	157	7698
20	164	7670
21	172	7663
22	179	7641
23	187	7624
24	195	7606
25	202	7603
26	210	7582
27	218	7590
28	226	7575
29	234	7570
30	241	7561
31	249	7545
32	256	7517
33	264	7510
34	272	7500
35	279	7493
36	287	7480
37	295	7469
38	302	7455
39	309	7433
40	316	7406
41	324	7397
42	331	7372
43	339	7376
44	346	7356
45	354	7345
46	361	7326
47	369	7321
48	376	7310
49	383	7295
50	391	7279
51	398	7265
52	405	7248
53	412	7231
54	419	7214
55	426	7196
56	434	7184
57	441	7165
58	448	7157
59	455	7140
60	463	7141
61	471	7131
62	479	7129
63	486	7111
64	493	7095
65	500	7085
66	508	7082
67	515	7071
68	523	7059
69	530	7051
70	538	7041
71	545	7028
72	551	7007
73	559	7002
74	566	6988
75	574	6979
76	582	6977
77	589	6969
78	597	6960
79	604	6949
80	611	6940
81	618	6929
82	625	6914
83	632	6898
84	639	6885
85	646	6868
86	652	6850
87	659	6837
88	667	6827
89	674	6818
90	681	6807
91	688	6796
92	695	6783
93	702	6767
94	709	6757
95	716	6742
96	723	6731
97	729	6718
98	737	6711
99	744	6701
100	751	6689
101	759	6684
102	766	6673
103	772	6657
104	779	6647
105	787	6642
106	794	6629
107	801	6623
108	808	6611
109	815	6601
110	823	6595
111	831	6588
112	838	6581
113	845	6569
114	853	6565
115	860	6558
116	868	6553
117	875	6543
118	882	6537
119	890	6526
120	896	6514
121	903	6503
122	911	6497
123	918	6490
124	925	6478
125	932	6466
126	939	6458
127	946	6447
128	953	6438
129	960	6429
130	968	6423
131	975	6412
132	982	6401
133	989	6395
134	997	6389
135	1004	6378
136	1011	6370
137	1019	6365
138	1026	6358
139	1033	6350
140	1041	6343
141	1048	6332
142	1054	6321
143	1062	6313
144	1069	6304
145	1076	6297
146	1083	6289
147	1091	6282
148	1098	6272
149	1105	6264
150	1112	6255
151	1119	6247
152	1127	6239
153	1134	6231
154	1141	6221
155	1148	6213
156	1156	6207
157	1163	6198
158	1169	6188
159	1178	6184
160	1185	6177
161	1191	6163
162	1199	6157
163	1205	6147
164	1213	6139
165	1219	6127
166	1227	6121
167	1234	6114
168	1241	6105
169	1248	6094
170	1255	6087
171	1262	6076
172	1269	6066
173	1276	6058
174	1282	6048
175	1289	6039
176	1297	6032
177	1305	6027
178	1312	6019
179	1318	6005
180	1325	5996
181	1332	5987
182	1339	5979
183	1346	5973
184	1354	5966
185	1361	5956
186	1368	5950
187	1375	5940
188	1382	5932
189	1389	5923
190	1396	5913
191	1403	5905
192	1410	5895
193	1417	5889
194	1424	5880
195	1430	5869
196	1438	5862
197	1444	5851
198	1451	5843
199	1458	5832
200	1465	5824
201	1471	5813
202	1477	5801
203	1483	5790
204	1490	5780
205	1497	5772
206	1503	5761
207	1510	5752
208	1518	5746
209	1524	5733
210	1530	5724
211	1538	5716
212	1544	5708
213	1551	5697
214	1557	5687
215	1564	5677
216	1570	5667
217	1577	5656
218	1584	5649
219	1590	5638
220	1598	5633
221	1605	5625
222	1612	5618
223	1619	5609
224	1626	5601
225	1632	5591
226	1638	5580
227	1645	5569
228	1651	5561
229	1658	5552
230	1665	5545
231	1672	5537
232	1679	5528
233	1685	5518
234	1692	5509
235	1699	5501
236	1706	5492
237	1713	5484
238	1719	5476
239	1727	5468
240	1733	5458
241	1740	5450
242	1746	5441
243	1753	5432
244	1760	5425
245	1767	5418
246	1775	5411
247	1781	5402
248	1789	5397
249	1796	5390
250	1803	5382
251	1810	5374
252	1817	5365
253	1824	5358
254	1830	5349
255	1837	5341
256	1844	5333
257	1851	5324
258	1858	5317
259	1865	5310
260	1872	5302
261	1879	5295
262	1886	5286
263	1893	5279
264	1900	5270
265	1907	5262
266	1913	5254
267	1920	5245
268	1927	5236
269	1934	5229
270	1940	5220
271	1947	5211
272	1954	5203
273	1960	5195
274	1967	5187
275	1974	5179
276	1980	5170
277	1988	5163
278	1994	5155
279	2001	5146
280	2007	5137
281	2014	5129
282	2021	5120
283	2026	5110
284	2034	5104
285	2040	5095
286	2047	5086
287	2054	5078
288	2061	5071
289	2068	5063
290	2074	5054
291	2081	5047
292	2088	5039
293	2095	5030
294	2101	5022
295	2108	5015
296	2115	5008
297	2122	5000
298	2129	4993
299	2136	4985
300	2143	4978
301	2150	4969
302	2157	4962
303	2164	4954
304	2170	4946
305	2177	4938
306	2185	4932
307	2191	4924
308	2197	4915
309	2204	4907
310	2211	4899
311	2217	4890
312	2223	4881
313	2230	4873
314	2237	4866
315	2244	4858
316	2251	4850
317	2258	4843
318	2264	4835
319	2271	4826
320	2277	4818
321	2284	4810
322	2291	4803
323	2298	4795
324	2305	4788
325	2312	4781
326	2318	4772
327	2325	4765
328	2333	4758
329	2339	4749
