iter	RMSE
0	7.890190792
1	7.877605571
2	7.865572657
3	7.853489502
4	7.843530363
5	7.834029964
6	7.824770774
7	7.815952186
8	7.808301551
9	7.800950716
10	7.793213785
11	7.786606173
12	7.780098705
13	7.77463792
14	7.768974394
15	7.763730787
16	7.758343881
17	7.753085909
18	7.7487892
19	7.744430901
20	7.73997016
21	7.73578617
22	7.732105051
23	7.728362347
24	7.724930045
25	7.721005884
26	7.717770227
27	7.714319645
28	7.710994678
29	7.708140388
30	7.705307183
31	7.702354796
32	7.699902336
33	7.697196281
34	7.694467729
35	7.691863381
36	7.689227257
37	7.68666382
38	7.684485811
39	7.682340721
40	7.680363636
41	7.678218049
42	7.676402822
43	7.673979512
44	7.67207808
45	7.670135224
46	7.668371634
47	7.666485732
48	7.664957663
49	7.663346387
50	7.661591541
51	7.659868235
52	7.65822883
53	7.65652714
54	7.654982956
55	7.653497023
56	7.651979255
57	7.650548296
58	7.649089806
59	7.647728532
60	7.646434167
61	7.645250638
62	7.643790441
63	7.642506052
64	7.641227617
65	7.639875319
66	7.638565124
67	7.637294679
68	7.635998125
69	7.634892
70	7.633640735
71	7.632591866
72	7.631498043
73	7.630318582
74	7.62932211
75	7.628080831
76	7.627031014
77	7.625983928
78	7.624897515
79	7.623866833
80	7.62296202
81	7.622028228
82	7.621122635
83	7.620044084
84	7.618977838
85	7.618058976
86	7.617156112
87	7.616362625
88	7.615268782
89	7.614311893
90	7.613436502
91	7.612575423
92	7.611796589
93	7.611022585
94	7.610150603
95	7.609388092
96	7.608531376
97	7.607741547
98	7.606939862
99	7.606184084
100	7.605430443
101	7.60472557
102	7.603982309
103	7.603352303
104	7.602663919
105	7.601964154
106	7.601260863
107	7.600489591
108	7.59988808
109	7.599213459
110	7.598650357
111	7.598055143
112	7.597350634
113	7.596656678
114	7.595962706
115	7.595306967
116	7.594674818
117	7.594029306
118	7.593425667
119	7.59282039
120	7.592306523
121	7.591645795
122	7.590896922
123	7.59031375
124	7.589683035
125	7.589098162
126	7.588516869
127	7.587949888
128	7.587406621
129	7.586905574
130	7.586296708
131	7.585794319
132	7.585252099
133	7.584726233
134	7.584197301
135	7.583603754
136	7.583136991
137	7.582605447
138	7.582151232
139	7.581628246
140	7.580991938
141	7.580396477
142	7.579746295
143	7.579255959
144	7.578777506
145	7.578260828
146	7.577695038
147	7.577204952
148	7.576706293
149	7.576131528
150	7.575630646
151	7.574938307
152	7.574435041
153	7.573999374
154	7.573547282
155	7.573106533
156	7.57264022
157	7.57219445
158	7.571802499
159	7.57123507
160	7.570777312
161	7.570267038
162	7.5698333
163	7.569334113
164	7.568875092
165	7.568407956
166	7.568038916
167	7.567645639
168	7.567239148
169	7.566718661
170	7.56629911
171	7.565932576
172	7.565572884
173	7.565161192
174	7.564565161
175	7.564189605
176	7.563807363
177	7.563423897
178	7.563071257
179	7.562707054
180	7.562220041
181	7.561836781
182	7.561414554
183	7.561115164
184	7.560780325
185	7.560258132
186	7.559900382
187	7.559571069
188	7.559236294
189	7.558794927
190	7.558439726
191	7.558042949
192	7.557732231
193	7.55733907
194	7.556962323
