iter	Passed	Remaining
0	64	64504
1	73	36582
2	80	26837
3	88	21933
4	94	18891
5	101	16873
6	111	15873
7	118	14704
8	125	13834
9	133	13233
10	140	12632
11	147	12108
12	155	11775
13	162	11477
14	170	11171
15	177	10906
16	183	10605
17	190	10393
18	196	10126
19	202	9945
20	210	9811
21	216	9615
22	222	9444
23	228	9287
24	236	9204
25	242	9083
26	249	8975
27	257	8924
28	263	8829
29	270	8732
30	276	8648
31	282	8556
32	289	8474
33	295	8408
34	304	8390
35	312	8369
36	319	8307
37	327	8287
38	337	8304
39	346	8317
40	356	8344
41	365	8326
42	372	8291
43	382	8301
44	390	8294
45	398	8258
46	407	8268
47	415	8249
48	424	8239
49	432	8213
50	442	8226
51	451	8226
52	460	8226
53	468	8205
54	480	8250
55	490	8265
56	501	8303
57	511	8311
58	520	8299
59	531	8324
60	542	8348
61	554	8395
62	566	8425
63	576	8432
64	584	8414
65	596	8441
66	608	8474
67	618	8480
68	627	8472
69	636	8453
70	647	8467
71	656	8457
72	664	8442
73	675	8454
74	683	8425
75	693	8433
76	704	8439
77	714	8445
78	724	8442
79	732	8426
80	743	8432
81	751	8418
82	761	8413
83	772	8420
84	780	8405
85	791	8412
86	802	8417
87	811	8410
88	824	8437
89	835	8445
90	849	8485
91	863	8525
92	873	8515
93	887	8555
94	899	8568
95	910	8575
96	919	8561
97	933	8596
98	943	8590
99	957	8621
100	970	8639
101	985	8675
102	998	8698
103	1010	8703
104	1020	8695
105	1031	8703
106	1040	8684
107	1053	8701
108	1065	8710
109	1078	8722
110	1087	8713
111	1097	8701
112	1107	8690
113	1117	8684
114	1130	8697
115	1140	8690
116	1150	8681
117	1162	8686
118	1173	8684
119	1186	8702
120	1197	8701
121	1209	8706
122	1221	8712
123	1238	8752
124	1249	8745
125	1260	8746
126	1270	8735
127	1284	8749
128	1295	8745
129	1308	8758
130	1320	8759
131	1332	8763
132	1342	8749
133	1353	8748
134	1366	8754
135	1376	8743
136	1388	8744
137	1401	8753
138	1415	8765
139	1430	8785
140	1446	8812
141	1459	8820
142	1471	8816
143	1487	8842
144	1500	8848
145	1511	8843
146	1524	8844
147	1537	8848
148	1547	8837
149	1560	8841
150	1572	8841
151	1585	8842
152	1595	8834
153	1606	8822
154	1616	8813
155	1626	8801
156	1643	8826
157	1654	8814
158	1664	8805
159	1672	8781
160	1682	8770
161	1691	8750
162	1701	8738
163	1711	8722
164	1719	8700
165	1727	8679
166	1738	8673
167	1749	8662
168	1757	8643
169	1765	8618
170	1773	8598
171	1783	8583
172	1790	8559
173	1798	8536
174	1806	8517
175	1813	8490
176	1821	8467
177	1830	8452
178	1838	8433
179	1844	8404
